names,links,category
Evonne Goolagong Cawley,https://en.wikipedia.org/wiki/Evonne_Goolagong_Cawley,Unkown
Christiane Nusslein-Volhard,https://en.wikipedia.org/wiki/Christiane_N%C3%BCsslein-Volhard,Unkown
Kelly Manthey,https://en.wikipedia.org/wiki/Kelly_Mantle,Unkown
Byron Katie,https://en.wikipedia.org/wiki/Byron_Katie,Unkown
Elizabeth Cowell,https://en.wikipedia.org/wiki/Elizabeth_Cowell,Unkown
Dorothy Lawrence,https://en.wikipedia.org/wiki/Dorothy_Lawrence,Unkown
Malalai Joya,https://en.wikipedia.org/wiki/Malalai_Joya,Unkown
Barbara Corcoran,https://en.wikipedia.org/wiki/Barbara_Corcoran,Unkown
Susan Solomon,https://en.wikipedia.org/wiki/Susan_Solomon,Unkown
Bettie Page,https://en.wikipedia.org/wiki/Bettie_Page,Unkown
Joan Rivers,https://en.wikipedia.org/wiki/Joan_Rivers,Unkown
Eva Peron,https://en.wikipedia.org/wiki/Eva_Per%C3%B3n,Unkown
Jenette Stanley,https://en.wikipedia.org/wiki/Jenette_H._Bolles,Unkown
Greta Garbo,https://en.wikipedia.org/wiki/Greta_Garbo,Unkown
Sheri L. Dew,https://en.wikipedia.org/wiki/Sheri_L._Dew,Unkown
Samantha Ettus,https://en.wikipedia.org/wiki/Samantha_Ettus,Unkown
Hope Powell,https://en.wikipedia.org/wiki/Hope_Powell,Unkown
Ingrid Mattson,https://en.wikipedia.org/wiki/Ingrid_Mattson,Unkown
Anaïs Nin,https://en.wikipedia.org/wiki/Ana%C3%AFs_Nin,Unkown
Sinéad O'Connor,https://en.wikipedia.org/wiki/Sin%C3%A9ad_O%27Connor,Unkown
Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,Unkown
Graça Machel,https://en.wikipedia.org/wiki/Gra%C3%A7a_Machel,Unkown
Lil' Kim,https://en.wikipedia.org/wiki/Lil%27_Kim,Unkown
Brené Brown,https://en.wikipedia.org/wiki/Bren%C3%A9_Brown,Unkown
Cilla Black,https://en.wikipedia.org/wiki/Cilla_Black,Unkown
Fenia Chertkoff,https://en.wikipedia.org/wiki/Fenia_Chertkoff,Unkown
Aimée Julie Cheron,https://en.wikipedia.org/wiki/Aim%C3%A9e_Julie_Cheron,Unkown
Caterina Cherubini,https://en.wikipedia.org/wiki/Caterina_Cherubini,Unkown
Anastasia Chernyavsky,https://en.wikipedia.org/wiki/Anastasia_Chernyavsky,Unkown
Cheryl Byron,https://en.wikipedia.org/wiki/Cheryl_Byron,Unkown
Cher Wang,https://en.wikipedia.org/wiki/Cher_Wang,Unkown
Virginia Cherrill,https://en.wikipedia.org/wiki/Virginia_Cherrill,Unkown
